ha_entity_id,new_device_id
input_button.snooze_air_filter_alert,helpers.btn_snooze_air_filter_alert
input_button.reset_air_filter_reminder,helpers.btn_reset_air_filter_reminder
input_button.kiosk_motion_on_meghans_office_kiosk,helpers.btn_kiosk_motion_on_meghans_office_kiosk
input_button.clean_main_suite,helpers.btn_clean_main_suite
input_button.stop_cleaning,helpers.btn_stop_cleaning
input_button.movie_systems_off,helpers.btn_movie_systems_off
input_button.all_downstairs_screens_off,helpers.btn_all_downstairs_screens_off
input_button.mute_everything_upstairs,helpers.btn_mute_everything_upstairs
input_button.volume_warning,helpers.btn_volume_warning
input_button.announcement_in_movie_room,helpers.btn_announcement_in_movie_room
input_button.shutdown_house,helpers.btn_shutdown_house
input_button.returned,helpers.btn_returned
input_button.halloween_show,helpers.btn_halloween_show
input_button.end_video_game_time,helpers.btn_end_video_game_time
input_button.start_cleaning_selected_areas,helpers.btn_start_cleaning_selected_areas
input_button.pool_heater_off,helpers.btn_pool_heater_off
input_button.scream,helpers.btn_scream
# COUNTERS (counter -> counter)
counter.video_game_time,helpers.video_game_time
# TIMERS (timer -> timer)
timer.nintendo_timer,helpers.nintendo_timer
timer.video_game,helpers.video_game_timer
timer.time_to_add,helpers.time_to_add_timer
timer.meghan_s_bedjet,helpers.meghan_s_bedjet_timer
timer.eli_s_bedjet,helpers.eli_s_bedjet_timer
